date,Drill music,Grime music,Deutschrap,Rap Francais,Country,Category,Streetwear,Tech Fleece,Trapstar,Corteiz,Top Boy,Valide series,4 Blocks,Roadman meaning,Talahon,Wesh meaning,Wireless Festival,Les Ardentes,Splash Festival
2013-12-31,,,,,GB,media_tv,,,,,4.666666666666667,0.0,0.0,,,,,,
2014-12-31,,,,,GB,media_tv,,,,,2.1666666666666665,0.0,0.0,,,,,,
2015-12-31,,,,,GB,media_tv,,,,,2.5,0.0,0.0,,,,,,
2016-12-31,,,,,GB,media_tv,,,,,2.3333333333333335,0.0,0.0,,,,,,
2017-12-31,,,,,GB,media_tv,,,,,2.25,0.0,0.0,,,,,,
2018-12-31,,,,,GB,media_tv,,,,,2.0,0.0,0.0,,,,,,
2019-12-31,,,,,GB,media_tv,,,,,11.583333333333334,0.0,0.0,,,,,,
2020-12-31,,,,,GB,media_tv,,,,,4.916666666666667,0.0,0.0,,,,,,
2021-12-31,,,,,GB,media_tv,,,,,4.5,0.0,0.0,,,,,,
2022-12-31,,,,,GB,media_tv,,,,,15.666666666666666,0.0,0.0,,,,,,
2023-12-31,,,,,GB,media_tv,,,,,16.083333333333332,0.0,0.0,,,,,,
2024-12-31,,,,,GB,media_tv,,,,,5.2727272727272725,0.0,0.0,,,,,,
2004-12-31,,,,,GB,language_slang,,,,,,,,0.0,0.0,0.0,,,
2005-12-31,,,,,GB,language_slang,,,,,,,,0.0,0.0,0.0,,,
2006-12-31,,,,,GB,language_slang,,,,,,,,0.0,0.0,0.0,,,
2007-12-31,,,,,GB,language_slang,,,,,,,,0.0,0.0,6.583333333333333,,,
2008-12-31,,,,,GB,language_slang,,,,,,,,4.75,0.0,0.0,,,
2009-12-31,,,,,GB,language_slang,,,,,,,,0.0,0.0,0.0,,,
2010-12-31,,,,,GB,language_slang,,,,,,,,0.0,0.0,0.0,,,
2011-12-31,,,,,GB,language_slang,,,,,,,,0.0,0.0,0.0,,,
2012-12-31,,,,,GB,language_slang,,,,,,,,0.0,0.0,0.0,,,
2013-12-31,,,,,GB,language_slang,,,,,,,,0.0,0.0,0.0,,,
2014-12-31,,,,,GB,language_slang,,,,,,,,0.0,0.0,0.0,,,
2015-12-31,,,,,GB,language_slang,,,,,,,,9.25,0.0,0.0,,,
2016-12-31,,,,,GB,language_slang,,,,,,,,10.833333333333334,0.0,0.0,,,
2017-12-31,,,,,GB,language_slang,,,,,,,,16.583333333333332,0.0,0.0,,,
2018-12-31,,,,,GB,language_slang,,,,,,,,20.833333333333332,0.0,0.0,,,
2019-12-31,,,,,GB,language_slang,,,,,,,,37.583333333333336,0.0,0.0,,,
2020-12-31,,,,,GB,language_slang,,,,,,,,49.166666666666664,0.0,0.0,,,
2021-12-31,,,,,GB,language_slang,,,,,,,,69.75,0.0,0.0,,,
2022-12-31,,,,,GB,language_slang,,,,,,,,74.5,0.0,0.0,,,
2023-12-31,,,,,GB,language_slang,,,,,,,,80.0,0.0,3.25,,,
2024-12-31,,,,,GB,language_slang,,,,,,,,45.54545454545455,28.818181818181817,11.454545454545455,,,
2004-12-31,,,,,GB,events_festivals,,,,,,,,,,,0.0,0.0,0.0
2005-12-31,,,,,GB,events_festivals,,,,,,,,,,,13.083333333333334,0.0,0.16666666666666666
2006-12-31,,,,,GB,events_festivals,,,,,,,,,,,20.0,0.0,0.0
2007-12-31,,,,,GB,events_festivals,,,,,,,,,,,15.916666666666666,0.0,0.08333333333333333
2008-12-31,,,,,GB,events_festivals,,,,,,,,,,,8.0,0.0,0.0
2009-12-31,,,,,GB,events_festivals,,,,,,,,,,,6.583333333333333,0.08333333333333333,0.08333333333333333
2010-12-31,,,,,GB,events_festivals,,,,,,,,,,,11.333333333333334,0.0,0.0
2011-12-31,,,,,GB,events_festivals,,,,,,,,,,,13.333333333333334,0.0,0.08333333333333333
2012-12-31,,,,,GB,events_festivals,,,,,,,,,,,20.25,0.0,0.0
2013-12-31,,,,,GB,events_festivals,,,,,,,,,,,18.666666666666668,0.0,0.0
2014-12-31,,,,,GB,events_festivals,,,,,,,,,,,14.666666666666666,0.0,0.08333333333333333
2015-12-31,,,,,GB,events_festivals,,,,,,,,,,,11.416666666666666,0.0,0.0
2016-12-31,,,,,GB,events_festivals,,,,,,,,,,,7.5,0.0,0.0
2017-12-31,,,,,GB,events_festivals,,,,,,,,,,,7.583333333333333,0.0,0.0
2018-12-31,,,,,GB,events_festivals,,,,,,,,,,,8.166666666666666,0.0,0.0
2019-12-31,,,,,GB,events_festivals,,,,,,,,,,,6.25,0.0,0.0
2020-12-31,,,,,GB,events_festivals,,,,,,,,,,,2.3333333333333335,0.0,0.0
2021-12-31,,,,,GB,events_festivals,,,,,,,,,,,4.833333333333333,0.0,0.08333333333333333
2022-12-31,,,,,GB,events_festivals,,,,,,,,,,,9.416666666666666,0.0,0.08333333333333333
2023-12-31,,,,,GB,events_festivals,,,,,,,,,,,4.833333333333333,0.0,0.16666666666666666
2024-12-31,,,,,GB,events_festivals,,,,,,,,,,,3.909090909090909,0.0,0.18181818181818182
2004-12-31,0.0,0.0,0.0,53.833333333333336,FR,music_drill,,,,,,,,,,,,,
2005-12-31,0.0,0.0,0.0,74.58333333333333,FR,music_drill,,,,,,,,,,,,,
